run,bench,arm,model,on_current_roster,planned,answered,complete,no_answer,truncated,undecided,budget_capped,unusable,missing
or_btf3_btfgate,btf3,original,openai/gpt-5.4,True,110,9,9,0,0,0,0,0,101
or_btf3_btfgate,btf3,original,openai/gpt-5.5,False,110,9,9,0,0,0,0,0,101
or_btf3_btfgate,btf3,original,openai/gpt-5.6-sol,False,110,9,9,0,0,0,0,0,101
or_btf3_btfgate,btf3,original,qwen/qwen3.5-122b-a10b,False,110,9,8,0,1,0,0,1,101
or_btf3_btfgate,btf3,original,qwen/qwen3.5-27b,False,110,9,9,0,0,0,0,0,101
or_btf3_btfgate,btf3,original,qwen/qwen3.5-397b-a17b,True,110,9,9,0,0,0,0,0,101
or_btf3_btfgate,btf3,original,x-ai/grok-4.3,True,110,9,6,3,0,0,0,0,101
or_btf3_btfgate,btf3,original,x-ai/grok-4.5,False,110,9,9,0,0,0,0,0,101
or_btf3_btfgate,btf3,original,z-ai/glm-4.5,False,110,9,9,0,0,0,0,0,101
or_btf3_btfgate,btf3,original,z-ai/glm-4.7,True,110,9,9,0,0,0,0,0,101
or_btf3_btfgate,btf3,original,z-ai/glm-5,True,110,9,8,1,0,0,0,0,101
or_btf3_btftight,btf3,tight,anthropic/claude-opus-4.8,False,110,4,4,0,0,0,0,0,106
or_btf3_btftight,btf3,tight,anthropic/claude-sonnet-4.6,True,110,5,5,0,0,0,0,0,105
or_btf3_btftight,btf3,tight,anthropic/claude-sonnet-5,False,110,6,6,0,0,0,0,0,104
or_btf3_btftight,btf3,tight,deepseek/deepseek-chat-v3.1,True,110,5,5,0,0,0,0,0,105
or_btf3_btftight,btf3,tight,deepseek/deepseek-r1,False,110,8,8,0,0,0,0,0,102
or_btf3_btftight,btf3,tight,deepseek/deepseek-v3.1-terminus,False,110,5,5,0,0,0,0,0,105
or_btf3_btftight,btf3,tight,deepseek/deepseek-v3.2,True,110,7,7,0,0,0,0,0,103
or_btf3_btftight,btf3,tight,google/gemini-3.1-pro-preview,True,110,6,6,0,0,0,0,0,104
or_btf3_btftight,btf3,tight,google/gemini-3.5-flash,False,110,5,5,0,0,0,0,0,105
or_btf3_btftight,btf3,tight,google/gemini-3.5-flash-lite,False,110,6,6,0,0,0,0,0,104
or_btf3_btftight,btf3,tight,google/gemma-3-12b-it,True,110,5,5,0,0,0,0,0,105
or_btf3_btftight,btf3,tight,google/gemma-3-27b-it,False,110,6,6,0,0,0,0,0,104
or_btf3_btftight,btf3,tight,meta-llama/llama-3.1-8b-instruct,False,110,9,9,0,0,0,0,0,101
or_btf3_btftight,btf3,tight,meta-llama/llama-3.3-70b-instruct,True,110,7,7,0,0,0,0,0,103
or_btf3_btftight,btf3,tight,meta-llama/llama-4-maverick,True,110,8,8,0,0,0,0,0,102
or_btf3_btftight,btf3,tight,minimax/minimax-m2.1,False,110,4,4,0,0,0,0,0,106
or_btf3_btftight,btf3,tight,minimax/minimax-m2.5,True,110,7,7,0,0,0,0,0,103
or_btf3_btftight,btf3,tight,minimax/minimax-m3,True,110,6,6,0,0,0,0,0,104
or_btf3_btftight,btf3,tight,mistralai/mistral-large-2512,True,110,8,8,0,0,0,0,0,102
or_btf3_btftight,btf3,tight,mistralai/mistral-medium-3.1,True,110,9,9,0,0,0,0,0,101
or_btf3_btftight,btf3,tight,mistralai/mistral-small-3.2-24b-instruct,False,110,9,9,0,0,0,0,0,101
or_btf3_btftight,btf3,tight,moonshotai/kimi-k2,False,110,7,7,0,0,0,0,0,103
or_btf3_btftight,btf3,tight,moonshotai/kimi-k2.5,True,110,4,4,0,0,0,0,0,106
or_btf3_btftight,btf3,tight,moonshotai/kimi-k2.6,True,110,4,4,0,0,0,0,0,106
or_btf3_btftight,btf3,tight,nvidia/nemotron-3-super-120b-a12b,True,110,4,4,0,0,0,0,0,106
or_btf3_btftight,btf3,tight,nvidia/nemotron-3-ultra-550b-a55b,True,110,6,6,0,0,0,0,0,104
or_btf3_btftight,btf3,tight,openai/gpt-5.4,True,110,7,7,0,0,0,0,0,103
or_btf3_btftight,btf3,tight,openai/gpt-5.5,False,110,6,6,0,0,0,0,0,104
or_btf3_btftight,btf3,tight,openai/gpt-5.6-sol,False,110,5,5,0,0,0,0,0,105
or_btf3_btftight,btf3,tight,qwen/qwen3.5-122b-a10b,False,110,5,5,0,0,0,0,0,105
or_btf3_btftight,btf3,tight,qwen/qwen3.5-27b,False,110,4,4,0,0,0,0,0,106
or_btf3_btftight,btf3,tight,qwen/qwen3.5-397b-a17b,True,110,4,4,0,0,0,0,0,106
or_btf3_btftight,btf3,tight,x-ai/grok-4.3,True,110,7,7,0,0,0,0,0,103
or_btf3_btftight,btf3,tight,x-ai/grok-4.5,False,110,5,5,0,0,0,0,0,105
or_btf3_btftight,btf3,tight,z-ai/glm-4.5,False,110,5,5,0,0,0,0,0,105
or_btf3_btftight,btf3,tight,z-ai/glm-4.7,True,110,5,5,0,0,0,0,0,105
or_btf3_btftight,btf3,tight,z-ai/glm-5,True,110,4,4,0,0,0,0,0,106
