family,model,condition,n,parsed,parse_rate,truncated,truncation_rate,errors,brier,brier_base_rate_ref,roc_auc,mean_forecast,accuracy@0.5,recall@0.5,precision@0.5,median_trace_chars,median_latency_s
forecast,qwen3-8b,BTF-cot-concise,40,40,1.0,0,0.0,0,0.1625,0.1444,0.6147,0.2105,0.775,0.0,0.0,1421.0,6.62
forecast,qwen3-8b,BTF-cot-simple,40,40,1.0,0,0.0,0,0.198,0.1444,0.487,0.1825,0.75,0.0,0.0,3847.5,16.87
forecast,qwen3-8b,BTF-noevidence,40,39,0.975,0,0.0,0,0.1731,0.1473,0.6161,0.2705,0.7949,0.2857,0.4,2560.5,11.48
forecast,qwen3-8b,FB-cot-concise,40,40,1.0,0,0.0,0,0.1102,0.1444,0.8398,0.1951,0.825,0.2857,0.5,803.0,3.57
forecast,qwen3-8b,FB-cot-simple,40,40,1.0,0,0.0,0,0.1267,0.1444,0.8182,0.2176,0.825,0.5714,0.5,3063.0,14.51
forecast,qwen3-8b,FB-zeroshot,40,40,1.0,0,0.0,0,0.0944,0.1444,0.8766,0.2529,0.875,0.7143,0.625,6.0,0.37
forecast,qwen3-8b,FBnp-cot-concise,40,40,1.0,0,0.0,0,0.1869,0.1444,0.6645,0.2626,0.725,0.4286,0.3,821.0,3.24
forecast,qwen3-8b,FBnp-cot-simple,40,40,1.0,0,0.0,0,0.2018,0.1444,0.5671,0.2577,0.75,0.4286,0.3333,2953.0,13.39
forecast,qwen3-8b,FBnp-zeroshot,40,40,1.0,0,0.0,0,0.2231,0.1444,0.5455,0.314,0.675,0.4286,0.25,6.0,0.36
forecast,qwen3-8b,cot-concise,40,40,1.0,0,0.0,0,0.1633,0.1444,0.7468,0.345,0.725,0.5714,0.3333,830.5,4.03
forecast,qwen3-8b,cot-simple,40,40,1.0,0,0.0,0,0.1988,0.1444,0.7013,0.3085,0.675,0.2857,0.2,2321.0,10.92
capability,llama-2-13b-chat-gptq8,AIME-2025|concise,25,24,0.96,1,0.04,0,,,,,0.0,,,1006,7.03
capability,llama-2-13b-chat-gptq8,AIME-2025|simple,25,24,0.96,1,0.04,0,,,,,0.0,,,1581,14.85
capability,llama-2-13b-chat-gptq8,BBH|concise,50,50,1.0,0,0.0,0,,,,,0.36,,,608.0,3.6
capability,llama-2-13b-chat-gptq8,BBH|simple,50,50,1.0,0,0.0,0,,,,,0.32,,,768.5,4.71
capability,llama-2-13b-chat-gptq8,GAIA-validation|concise,50,50,1.0,0,0.0,0,,,,,0.12,,,708.0,3.89
capability,llama-2-13b-chat-gptq8,GAIA-validation|simple,50,50,1.0,0,0.0,0,,,,,0.12,,,945.5,6.12
capability,llama-2-13b-chat-gptq8,GPQA-Diamond|concise,50,50,1.0,0,0.0,0,,,,,0.12,,,957.5,7.84
capability,llama-2-13b-chat-gptq8,GPQA-Diamond|simple,50,49,0.98,1,0.02,0,,,,,0.2857,,,1688.0,12.38
capability,llama-2-13b-chat-gptq8,IFEval|concise,50,0,0.0,0,0.0,0,,,,,,,,1124.5,6.04
capability,llama-2-13b-chat-gptq8,IFEval|simple,50,0,0.0,0,0.0,0,,,,,,,,1078.5,5.79
capability,llama-2-13b-chat-gptq8,TruthfulQA|concise,50,0,0.0,0,0.0,0,,,,,,,,840.5,3.75
capability,llama-2-13b-chat-gptq8,TruthfulQA|simple,50,0,0.0,0,0.0,0,,,,,,,,1191.0,5.41
capability,llama-3.1-8b-instruct,AIME-2025|concise,25,18,0.72,7,0.28,0,,,,,0.0,,,1929,21.57
capability,llama-3.1-8b-instruct,AIME-2025|simple,25,7,0.28,18,0.72,0,,,,,0.0,,,10084,79.85
capability,llama-3.1-8b-instruct,BBH|concise,50,49,0.98,1,0.02,0,,,,,0.449,,,609.0,3.63
capability,llama-3.1-8b-instruct,BBH|simple,50,49,0.98,1,0.02,0,,,,,0.5714,,,1083.0,4.69
capability,llama-3.1-8b-instruct,GAIA-validation|concise,50,43,0.86,7,0.14,0,,,,,0.1163,,,818.5,3.45
capability,llama-3.1-8b-instruct,GAIA-validation|simple,50,46,0.92,4,0.08,0,,,,,0.0652,,,1273.0,5.33
capability,llama-3.1-8b-instruct,GPQA-Diamond|concise,50,41,0.82,9,0.18,0,,,,,0.3415,,,1269.5,26.36
capability,llama-3.1-8b-instruct,GPQA-Diamond|simple,50,32,0.64,18,0.36,0,,,,,0.25,,,2116.5,17.36
capability,llama-3.1-8b-instruct,IFEval|concise,50,0,0.0,0,0.0,0,,,,,,,,1118.0,5.21
capability,llama-3.1-8b-instruct,IFEval|simple,50,0,0.0,1,0.02,0,,,,,,,,1111.5,5.04
capability,llama-3.1-8b-instruct,TruthfulQA|concise,50,0,0.0,1,0.02,0,,,,,,,,749.5,2.93
capability,llama-3.1-8b-instruct,TruthfulQA|simple,50,0,0.0,5,0.1,0,,,,,,,,1571.0,5.88
capability,qwen3-8b,AIME-2025|concise,25,18,0.72,7,0.28,0,,,,,0.2778,,,5115,34.74
capability,qwen3-8b,AIME-2025|simple,25,16,0.64,9,0.36,0,,,,,0.25,,,5844,47.75
capability,qwen3-8b,BBH|concise,50,50,1.0,0,0.0,0,,,,,0.8,,,471.0,2.54
capability,qwen3-8b,BBH|simple,50,48,0.96,2,0.04,0,,,,,0.875,,,1373.0,7.68
capability,qwen3-8b,GAIA-validation|concise,50,50,1.0,0,0.0,0,,,,,0.12,,,514.5,2.38
capability,qwen3-8b,GAIA-validation|simple,50,47,0.94,3,0.06,0,,,,,0.0638,,,1650.0,7.49
capability,qwen3-8b,GPQA-Diamond|concise,50,45,0.9,5,0.1,0,,,,,0.4667,,,1717.0,11.65
capability,qwen3-8b,GPQA-Diamond|simple,50,43,0.86,7,0.14,0,,,,,0.6512,,,3280.5,24.03
capability,qwen3-8b,IFEval|concise,50,0,0.0,0,0.0,0,,,,,,,,822.5,3.79
capability,qwen3-8b,IFEval|simple,50,0,0.0,0,0.0,0,,,,,,,,861.0,3.96
capability,qwen3-8b,TruthfulQA|concise,50,0,0.0,0,0.0,0,,,,,,,,431.0,1.62
capability,qwen3-8b,TruthfulQA|simple,50,0,0.0,0,0.0,0,,,,,,,,1421.5,5.85
