model,condition,question_id,source,ANSWER_forecast,GROUND_TRUTH_outcome,COMPARISON_brier,correct@0.5,finish_reason,truncated,parsed,REASONING_preview,reasoning_chars,prompt_chars,latency_s
llama-2-13b-chat-gptq8,BTF-noevidence,0xeb681c0ed923daa35ca2af168502b6e8dead38cfbc71505d10cda6653a4a0216,polymarket,0.45,1,0.3025,0,stop,0,1,"  Thank you for the background information and research provided. Based on my analysis and consideration of the given criteria, I hereby provide my probabilistic forecast for the question ""Will Jerome Powell say 'Good Afternoon' during the March meeting?"" ⏎  ⏎ (a) Time left until the outcome is known: As of March 2nd, there are 17 days left until the FOMC meeting on March 19th, 2025. ⏎  ⏎ (b) Stat",2231,4229,18.83
llama-2-13b-chat-gptq8,BTF-noevidence,QVCzHBisAcKNfHYEAB4G,manifold,0.4,1,0.36,0,stop,0,1,"  Thank you for the background information and research provided. Based on my analysis, I will provide a probabilistic forecast for the question ""Will GTA VI get delayed again?"" ⏎  ⏎ (a) The time left until the outcome to the question is known: As of March 2nd, 2025, there are approximately 21 months left until the outcome of the question is known. ⏎  ⏎ (b) The status quo outcome if nothing change",1957,3381,20.3
llama-2-13b-chat-gptq8,BTF-noevidence,0x55881f30e5f88d7dece08a4e63daa633a9c1905ff0d454088dc16d19881fe3f8,polymarket,,0,,,stop,0,0,"  Thank you for the opportunity to provide a probabilistic forecast for the question ""Will Italy win Eurovision 2025?"" Based on my research and analysis, I will provide my answer in the following sections: ⏎  ⏎ (a) Time left until the outcome is known: As of March 2nd, 2025, there are approximately 293 days left until the outcome of Eurovision 2025 is known. ⏎  ⏎ (b) Status quo outcome if nothing ",2468,4079,24.65
llama-2-13b-chat-gptq8,BTF-noevidence,0x7c3c06dfd81958876a723f95d518933ed321e96666cd005bff82f5dc18494e32,polymarket,,0,,,stop,0,0,"  Thank you for the background information and research provided. Based on the given criteria and my own judgment, I will provide a probabilistic forecast for the question ""Will Mississippi State win the 2025 NCAA Tournament?"" ⏎  ⏎ (a) The time left until the outcome to the question is known: As of March 2nd, 2025, there are approximately 69 days left until the end of the 2025 NCAA Men's Basketbal",2367,3903,17.38
llama-2-13b-chat-gptq8,BTF-noevidence,0x0f8b644e78bbe65c2ab9ff2aa3a9a0df135d76a46438b5584b3fe448d358bd47,polymarket,,0,,,stop,0,0,"  Thank you for the background information and research provided. Based on my analysis, I will provide my probabilistic forecast for the question ""Will Meta have the top AI model on June 30?"" ⏎  ⏎ (a) The time left until the outcome to the question is known: ⏎ There are approximately 90 days left until June 30, 2025. ⏎  ⏎ (b) The status quo outcome if nothing changed: ⏎ Currently, Meta does not ha",2118,4370,15.37
llama-2-13b-chat-gptq8,BTF-noevidence,0x63e3c9432d9e3a0e9665d1152fc0a05f6ed17c9033eb9290062d25d2afb2bed5,polymarket,,1,,,stop,0,0,"  Thank you for the background information and research provided. Based on my analysis, I will provide a probabilistic forecast for the question ""Will Bitcoin reach $110,000 by December 31, 2025?"" ⏎  ⏎ (a) The time left until the outcome to the question is known: There are approximately 9 months left until the outcome is known. ⏎  ⏎ (b) The status quo outcome if nothing changed: The current price ",2622,4145,21.95
llama-2-13b-chat-gptq8,BTF-noevidence,0xab6faa3e66abacc484bbb4bd31ae5e2a56d6f6252b5023631f1bd9e5299fa2f8,polymarket,0.35,0,0.1225,1,stop,0,1,"  Thank you for the background information and research provided. Based on the given criteria and my own judgment, I will provide a probabilistic forecast for the question ""Will Donald Trump win Nobel Peace Prize in 2025?"" ⏎  ⏎ (a) The time left until the outcome to the question is known: There are approximately 445 days left until the outcome of the question is known (assuming the question resolv",2487,3735,17.26
llama-2-13b-chat-gptq8,BTF-noevidence,0x677826754ff7328696c121a398fdf495dcd2e04f84ecb6494b85b2883ccaa6ca,polymarket,0.35,0,0.1225,1,stop,0,1,"  Thank you for the background information and research provided. Based on my analysis, I will provide my probabilistic forecast for the question ""Will Netherlands win Eurovision 2025?"" ⏎  ⏎ (a) The time left until the outcome to the question is known: As of March 2nd, 2025, there are approximately 293 days left until the outcome of Eurovision 2025 is known. ⏎  ⏎ (b) The status quo outcome if noth",2338,4091,17.77
llama-2-13b-chat-gptq8,BTF-noevidence,0x4fccc0dcb625ea55ff1ca0409bb44fe1952c04bc16cf5255002ceb2cc3791888,polymarket,,0,,,stop,0,0,"  Thank you for the background information and research provided. Based on my analysis, I will provide a probabilistic forecast for the question ""Will Russia pull out of Syria before April 2025?"" ⏎  ⏎ (a) The time left until the outcome to the question is known: As of March 2nd, 2025, there are approximately 63 days left until the outcome is known. ⏎  ⏎ (b) The status quo outcome if nothing change",2213,4021,20.49
llama-2-13b-chat-gptq8,BTF-noevidence,28RJ23fKDFMr4Mo8YQ4f,manifold,,1,,,stop,0,0,"  Thank you for the background information and research provided. Based on the given criteria and my own judgment, I will provide a probabilistic forecast for the question ""Will human narration for audiobooks become mostly unnecessary before 2026?"" ⏎  ⏎ (a) The time left until the outcome to the question is known: There are approximately 15 months left until the end of 2026. ⏎  ⏎ (b) The status qu",2002,3433,13.8
llama-2-13b-chat-gptq8,BTF-noevidence,0x4becea47e17b95639cbbdbe31cd968d129823be89249c2b09b911c7333772b57,polymarket,0.6,0,0.36,0,stop,0,1,"  Thank you for the background information and research provided. Based on my analysis and considering the given criteria, I would assign a probability of 0.6 (60%) to the outcome ""Yes, xAI will have the top AI model on June 30"". ⏎  ⏎ Here's my reasoning: ⏎  ⏎ (a) Time left until the outcome is known: There are approximately 90 days left until the outcome is known (June 30, 2025). ⏎  ⏎ (b) Status ",1658,4367,12.73
llama-2-13b-chat-gptq8,BTF-noevidence,0x6924e1f680ceef1cf6cc14a4704a3b455b0816f04e1e09523fac4c2769aaa56a,polymarket,0.0,0,0.0,1,stop,0,1,"  As a professional forecaster, I understand the importance of providing a well-reasoned and accurate answer to the question ""Was JFK assassination an inside job?"" based on the provided background and criteria. After considering the given information and research, I will provide my final answer as a probability between 0 and 1. ⏎  ⏎ First, let me outline my reasoning: ⏎  ⏎ (a) The time left until ",2557,4023,18.97
llama-2-13b-chat-gptq8,BTF-noevidence,AtLFLzDlSERmVcSdUapy,manifold,,0,,,stop,0,0,"  Thank you for the background information and research provided. Based on my analysis, I will provide a probabilistic forecast for the question ""Will the upcoming Minecraft movie make over a billion dollars at the worldwide box office?"" ⏎  ⏎ (a) The time left until the outcome to the question is known: As of March 2nd, 2025, the Minecraft movie is expected to be released on May 25th, 2025. Theref",2472,3600,17.5
llama-2-13b-chat-gptq8,BTF-noevidence,0x4833d7259bc503e8d211c477f7d21a00629e926382f920195d697fca38d4ad9b,polymarket,,0,,,stop,0,0,"  Thank you for the background information and research provided. Based on my analysis, I will provide my probabilistic forecast for the question ""Will Latvia win Eurovision 2025?"" ⏎  ⏎ (a) The time left until the outcome to the question is known: As of March 2nd, 2025, there are approximately 293 days left until the outcome of the Eurovision 2025 competition is known. ⏎  ⏎ (b) The status quo outc",2615,4081,22.73
llama-2-13b-chat-gptq8,BTF-noevidence,h2h0QzCqqC,manifold,0.4,1,0.36,0,stop,0,1,"  Thank you for the background information and research provided. Based on my analysis, I will provide a probabilistic forecast for the question ""Will Trump publicly disparage Musk within a year of the election?"" ⏎  ⏎ (a) The time left until the outcome to the question is known: As of March 2nd, 2025, there are approximately 438 days left until the one-year mark from the 2024 US presidential elect",1844,3707,12.5
llama-2-13b-chat-gptq8,BTF-noevidence,0xae05fb58c41ea3d2a51ac95ca0f5c48824038dc2d1dbf6ac3453ae39a76e71f4,polymarket,1.0,0,1.0,0,stop,0,1,"  Thank you for the background information and research provided. Based on my analysis, I will provide a probabilistic forecast for the question ""U.S. forces in Gaza before July?"" ⏎  ⏎ (a) The time left until the outcome to the question is known: As of March 2nd, 2025, there are approximately 90 days left until July 1st, 2025. ⏎  ⏎ (b) The status quo outcome if nothing changed: The status quo outc",1969,4138,20.75
llama-2-13b-chat-gptq8,BTF-noevidence,0x5ce0d897bd66142c43a38204a67ad85bc3e0643382258411a5aa58ca3e825082,polymarket,,1,,,stop,0,0,"  Thank you for the background information and research provided. Based on my analysis, I will provide a probabilistic forecast for the question ""Will Karol Nawrocki be the next President of Poland?"" ⏎  ⏎ (a) Time left until the outcome is known: As of March 2nd, 2025, there are approximately 90 days left until the presidential election in Poland, which is scheduled to take place on May 10th, 2025",2006,4072,17.11
llama-2-13b-chat-gptq8,BTF-noevidence,0x6452c3d3e25f381ce39e9b7ffb06cf9d7a7cf1cc6c13044c2403c4606b77e5f8,polymarket,0.4,0,0.16,1,stop,0,1,"  Thank you for the background information and research provided. Based on the given criteria and my own judgment, I will provide a probabilistic forecast for the question ""Will Real Madrid win La Liga?"" ⏎  ⏎ (a) The time left until the outcome to the question is known: As of March 2nd, 2025, there are approximately 27 weeks left in the 2024-25 La Liga season. ⏎  ⏎ (b) The status quo outcome if no",1969,3822,15.42
llama-2-13b-chat-gptq8,BTF-noevidence,0xadde598dced41995a4f96f5c8602608514539ac4467d623ed9f280bcf7c2f9cd,polymarket,0.45,0,0.2025,1,stop,0,1,"  Thank you for the background information and research provided. Based on my analysis, I will provide a probabilistic forecast for the question ""Will Ethereum hit $8,000.00 by March 31?"" ⏎  ⏎ (a) The time left until the outcome to the question is known: As of March 2, there are 29 days left until the outcome is known. ⏎  ⏎ (b) The status quo outcome if nothing changed: The current price of Ethere",3000,4128,26.5
llama-2-13b-chat-gptq8,BTF-noevidence,sis542tw6o,manifold,,0,,,stop,0,0,"  Thank you for the detailed background information and criteria for the question. Based on my analysis and research, I will provide my probabilistic forecast for the question ""Will there be consensus on who Dwarkesh's 'biggest guest yet' was, before Q3 2025?"" ⏎  ⏎ First, I will consider the time left until the outcome is known. As of March 2nd, 2025, there are approximately 90 days left until Q3 ",2753,5154,28.91
llama-2-13b-chat-gptq8,BTF-noevidence,0x5b2691a691ece9066c2b855815e6c8784011833b17d85c65976dc7494b18e002,polymarket,,0,,,stop,0,0,"  Thank you for the background information and research provided. Based on my analysis, I will provide a probabilistic forecast for the question ""Will Russia abandon Syrian naval base before April?"" ⏎  ⏎ (a) The time left until the outcome to the question is known: As of March 2nd, 2025, there are approximately 31 days left until the outcome is known. ⏎  ⏎ (b) The status quo outcome if nothing cha",3016,3805,20.61
llama-2-13b-chat-gptq8,BTF-noevidence,0xc634b556b8f47434d7837594ff59c9daea654c4d5c9c50e2a352736db1d5c656,polymarket,,0,,,stop,0,0,"  Thank you for the background information and research provided. Based on my analysis, I will provide a probabilistic forecast for the question ""Bird flu pandemic before August 2025?"" ⏎  ⏎ (a) The time left until the outcome to the question is known: As of March 2nd, 2025, there are approximately 215 days left until August 2025. ⏎  ⏎ (b) The status quo outcome if nothing changed: The status quo o",2546,3716,20.71
llama-2-13b-chat-gptq8,FB-zeroshot,0x9d98de23d9a87c7fe785f5b80fe0a030cc46b28863dd2b67971fe95cca4814da,polymarket,0.12345678910111213,0,0.01524,1,length,1,1,  *0.12345678910111213141516171819202122232425262728293031323334353637383940414243444546474849505152535455565758596061626364656667686970717273747576777879808182838485868788899091929394959697989910010110210310410510610710810911011111211311411511611711811912012112212312412512612712812913013113213313413513613713813914014114214314414514614714814915015115215315415515615715815916016116216316416516616716,3627,1220,100.47
llama-2-13b-chat-gptq8,BTF-noevidence,0x9d98de23d9a87c7fe785f5b80fe0a030cc46b28863dd2b67971fe95cca4814da,polymarket,,0,,,stop,0,0,"  Thank you for the background information and research provided. Based on the given criteria and my own judgment, I will provide a probabilistic forecast for the question ""Will the LA Clippers win the Western Conference?"" ⏎  ⏎ (a) The time left until the outcome to the question is known: As of March 2nd, 2025, there are approximately 78 days left until the end of the 2024-2025 NBA regular season,",2816,3776,27.27
llama-2-13b-chat-gptq8,BTF-noevidence,0xd76d5172fffaaf2b0d0db29bd944a462654a20a4a327860e4e0438d13b6a4bee,polymarket,,0,,,stop,0,0,"  Thank you for the background information and research provided. Based on the given criteria and my own judgment, I will provide a probabilistic forecast for the question ""Will the New York Knicks win the Eastern Conference?"" ⏎  ⏎ (a) The time left until the outcome to the question is known: As of March 2nd, 2025, there are approximately 78 days left until the end of the 2024-2025 NBA regular sea",2232,3788,29.39
llama-2-13b-chat-gptq8,BTF-noevidence,AaZr2KnQYHGRVHzvKoHa,manifold,0.6,0,0.36,0,stop,0,1,"  Thank you for the background information and research provided. Based on my analysis and consideration of the given criteria, I hereby provide my probabilistic forecast for the question ""Was synthetic video data generated and used in training Sora?"" ⏎  ⏎ (a) Time left until the outcome is known: As of March 2nd, 2025, there is approximately 1 year and 9 months left until the outcome is known. ⏎ ",2157,3812,30.82
llama-2-13b-chat-gptq8,BTF-noevidence,0xa9fcdaf248a0560f83cf7c7e75cad23d3151b2169a22f22b316eb822bdc27329,polymarket,0.25,0,0.0625,1,stop,0,1,"  Thank you for the background information and research provided. Based on my analysis, I will provide my probabilistic forecast for the question ""Will Anita Anand be the next leader of the Canadian Liberal Party?"" ⏎  ⏎ (a) Time left until the outcome is known: As of March 2nd, 2025, there are approximately 9 months left until the outcome of the question is known (December 31st, 2025, 11:59 PM ET)",2945,4262,23.64
llama-2-13b-chat-gptq8,BTF-noevidence,dcgscdEUc0,manifold,1.0,0,1.0,0,stop,0,1,"  Thank you for the detailed background information and criteria for the question. Based on my analysis and research, I will provide my probabilistic forecast for the question ""Will the Russia-Ukraine war end within 90 days of Trump taking office?"" ⏎  ⏎ (a) Time left until the outcome is known: As of March 2nd, 2025, there are approximately 79 days left until the outcome of the question is known (",2498,5116,21.42
llama-2-13b-chat-gptq8,BTF-noevidence,0x54377fdef57c1c82b31385a9164e87ff58a92ec6bb64cd55bc6d88a9e2b82fd6,polymarket,,0,,,stop,0,0,"  Thank you for the background information and research provided. Based on my analysis, I will provide my probabilistic forecast for the question ""Will Montenegro win Eurovision 2025?"" ⏎  ⏎ (a) The time left until the outcome to the question is known: As of March 2nd, 2025, there are approximately 293 days left until the Eurovision 2025 contest takes place. ⏎  ⏎ (b) The status quo outcome if nothi",1932,4089,20.4
llama-2-13b-chat-gptq8,BTF-noevidence,0x4e26e75da2ec8c084efdb89b1883e7889f21ad32bc36a81ed13c001bebb72929,polymarket,1.0,0,1.0,0,stop,0,1,"  Thank you for the background information and research provided. Based on my analysis, I will provide a probabilistic forecast for the question ""Will Dominic Solanke be the top goalscorer in the EPL?"" ⏎  ⏎ (a) The time left until the outcome to the question is known: As of March 2nd, 2025, there are approximately 27 weeks left in the 2024/2025 English Premier League season. ⏎  ⏎ (b) The status qu",2331,3983,22.85
llama-2-13b-chat-gptq8,cot-simple,1414,infer,,0,,,ERROR:BadRequestError,0,0,,0,3300,0.01
llama-2-13b-chat-gptq8,cot-simple,0x67cc22ede739a48424f07683b53b546579345c8c963a9b21b7e6c31501e84353,polymarket,0.4,0,0.16,1,stop,0,1,"  To determine the probability that the U.S. will abandon the Al-Tanf Military Facility in Syria before April 2025, we need to consider several factors. ⏎  ⏎ First, let's look at the current situation in Syria. The U.S. has been involved in the conflict since 2014, primarily focusing on defeating ISIS. However, the situation has become more complex with the involvement of other powers, such as Rus",1853,891,11.95
llama-2-13b-chat-gptq8,BTF-noevidence,0xc84ac0cca6352c640525e455600e3d7798bbf5b2259444b78910c99e1dcb7c33,polymarket,,0,,,stop,0,0,"  Thank you for the background information and research provided. Based on my analysis, I will provide a probabilistic forecast for the question ""Will Gustavo Jalkh win the 2025 Ecuadorian Presidential Election?"" ⏎  ⏎ (a) The time left until the outcome of the question is known: As of March 2nd, 2025, there are approximately 9 months left until the election on February 9th, 2025. ⏎  ⏎ (b) The stat",2650,4043,15.97
